Book,Verse,Lemma,Lemma_Witnesses,Lemma_Sources,Lemma_Annotations,General_Comment,Reading_1,Reading_1_Witnesses,Reading_1_Sources,Reading_1_Annotations,Reading_2,Reading_2_Witnesses,Reading_2_Sources,Reading_2_Annotations,Reading_3,Reading_3_Witnesses,Reading_3_Sources,Reading_3_Annotations,Reading_4,Reading_4_Witnesses,Reading_4_Sources,Reading_4_Annotations,Reading_5,Reading_5_Witnesses,Reading_5_Sources,Reading_5_Annotations,Reading_6,Reading_6_Witnesses,Reading_6_Sources,Reading_6_Annotations
9,1,DIVERSA(1),*F* _Ah2_ _Pah2_ _N_,,,,d.,_Pc_,,,_om._,*Γ*,,,,,,,,,,,,,,,,,,
9,1,transit,*F* _Pa_ _Pc_ γ,,,,traxit,θ _Q_ σ [*Γ*],,,,,,,,,,,,,,,,,,,,,,
9,1,ad Ardeam,_Fh3_ θ _Pa_ _Pc_ γ _W_,,,,ardeam,*F* _Q_ _N_,,,,,,,,,,,,,,,,,,,,,,
9,1,atque,,_Murgia_,"post hoc verbum distinxi, ante hoc verbum edd. plerique",,,,,,,,,,,,,,,,,,,,,,,,,
9,1,D<IVERSA> PENITVS,,Verg.,,,penitus,*F* _N_,,,d. p.,θ _Pc_,,,p.,_Q_ γ _W_,,,,,,,,,,,,,,
9,1,DVM PARTE GERVNTVR,*F* _N_,,,,d. parte geruntur,θ _Pc_ _Q_ _W_ [*Γ*],,,d. p. g.,_Pa_ γ,,,,,,,,,,,,,,,,,,
9,1,adverbii vim,,_Dan._,,,adverbis,_F_,,,,,,,,,,,,,,,,,,,,,,
9,1,illud,*Γ*,,,,illa,*F*,,,,,,,,,,,,,,,,,,,,,,
9,1,Diomedem,*F* _Pc_ _Pb_ _Y_,,,,diomeden,*Γ*,,_(sed cf. Serv. ad A. 11.243)_,diomede,_N_,,,,,,,,,,,,,,,,,,
9,1,Vlixem,_Pc_,,,,ulixen,*Γ*,,,tulixem,*F*,,,,,,,,,,,,,,,,,,
9,1,post(2),*Γ*,,,,posest,*F*,,,,,,,,,,,,,,,,,,,,,,
9,2,Iris,*Γ*,,,,_om._,*F*,,,,,,,,,,,,,,,,,,,,,,
9,2,ἔρις,,,,,eris,*F* *Γ*,,,,,,,,,,,,,,,,,,,,,,
9,2,aeriam,*Γ*,Verg.,_(et hic et ad A. 5.606)_,,erigam,*F*,,,eriam,*F*,,ad A. _5.606_,aeriem,_Q_,,,,,,,,,,,,,,
9,2,demisit,*F* γ,Verg.,,,dimisit,*Γ*,,,dimittit,*F* *Γ*,,ad A. _5.606_,,,,,,,,,,,,,,,,
9,2,germanae,*Γ*,,,,germani,*F*,,,,,,,,,,,,,,,,,,,,,,
9,2,ferentem,*Γ*,,,,ferenti,*F*,,,,,,,,,,,,,,,,,,,,,,
